host,domain_category,total_mentions,distinct_brands,weighted_source_score
healthfinder.ae,healthcare_directory,33,5,59.4
www.vestacare.ae,healthcare_provider,43,1,43.0
firstresponsehealthcare.com,healthcare_provider,32,2,38.4
www.nightingaledubai.com,healthcare_provider,23,2,27.6
emirateshomenursing.ae,healthcare_provider,13,1,13.0
www.mordorintelligence.com,market_research,10,2,12.0
oncalldoctordubai.com,healthcare_provider,8,2,9.6
jm.linkedin.com,social_media,6,2,7.2
www.linkedin.com,social_media,6,2,7.2
24x7dubai.firstresponsehealthcare.com,healthcare_provider,6,2,7.2
montgohealth.com,hospital_clinic,6,2,7.2
health.baabeetv.com,news_media,5,2,6.0
www.trustindex.io,review_platform,5,1,5.0
servicemarket.com,healthcare_directory,5,1,5.0
uk.linkedin.com,social_media,5,1,5.0
manzilhealth.com,healthcare_provider,5,1,5.0
homenurse.ae,healthcare_provider,5,1,5.0
expatsofdubai.com,news_media,5,1,5.0
gludo.org,community,5,1,5.0
gracehousecall.ae,healthcare_provider,5,1,5.0
24x7.trusteddoctors.ae,healthcare_provider,5,1,5.0
doctoroncall.ae,healthcare_provider,5,1,5.0
uat.firstresponsehealthcare.com,healthcare_provider,5,1,5.0
www.trustpilot.com,review_platform,5,1,5.0
www.dubaihealthlicense.com,government,5,1,5.0
digitalmarketingdeal.me,news_media,4,2,4.8
emahs.ae,healthcare_provider,4,1,4.0
www.dubaisbest.com,healthcare_directory,4,1,4.0
trucareplus.ae,healthcare_provider,2,1,2.0
trudocgroup.com,hospital_clinic,2,1,2.0
www.okadoc.com,healthcare_directory,2,1,2.0
elderlycareindubai.com,healthcare_directory,2,1,2.0
callmydoctor.ae,healthcare_provider,2,1,2.0
care24.ae,healthcare_provider,2,1,2.0
livhhc.ae,healthcare_provider,2,1,2.0
www.provenexpert.com,review_platform,2,1,2.0
forum.creuniversity.com,community,1,1,1.0
fastcareuae.com,healthcare_provider,1,1,1.0
easyhealthcare.ae,healthcare_provider,1,1,1.0
simshomehealthcare.ae,healthcare_provider,1,1,1.0
www.simshomehealthcare.ae,healthcare_provider,1,1,1.0
loyalhealthcare.ae,healthcare_provider,1,1,1.0
nadzhealthcare.com,healthcare_provider,1,1,1.0
gulfnews.com,news_media,1,1,1.0
